Date,Open,High,Low,Close
2022-03-06,1974.472,1991.358,1974.192,1988.608
2022-03-07,1988.608,2002.518,1960.878,1998.608
2022-03-08,1998.678,2070.358,1980.938,2043.648
2022-03-09,2043.728,2059.068,1976.008,1989.728
2022-03-10,1989.728,2009.062,1970.508,1995.168
2022-03-11,1995.168,1997.142,1958.438,1988.248
2022-03-12,1988.248,1988.248,1988.248,1988.248
2022-03-13,1984.742,1990.308,1970.548,1974.108
2022-03-14,1974.148,1978.662,1949.628,1952.058
2022-03-15,1952.058,1952.088,1906.948,1917.853
2022-03-16,1917.829,1929.328,1894.948,1926.898
2022-03-17,1926.888,1949.748,1925.363,1943.778
2022-03-18,1943.765,1945.203,1917.798,1921.198
2022-03-19,1921.198,1921.198,1921.198,1921.198
2022-03-20,1921.358,1926.168,1918.058,1918.938
2022-03-21,1918.928,1941.168,1917.858,1935.488
2022-03-22,1935.488,1938.268,1910.508,1919.543
2022-03-23,1919.523,1948.293,1915.453,1945.968
2022-03-24,1945.919,1966.083,1937.278,1959.155
2022-03-25,1959.155,1964.153,1942.998,1957.688
2022-03-26,1957.688,1957.688,1957.688,1957.688
2022-03-27,1956.968,1959.053,1954.613,1957.063
2022-03-28,1957.063,1958.258,1916.838,1923.918
2022-03-29,1923.938,1929.168,1889.998,1916.268
2022-03-30,1916.298,1938.428,1915.788,1933.958
2022-03-31,1933.938,1949.723,1918.988,1936.675
2022-04-01,1936.675,1939.358,1917.908,1924.778
2022-04-02,1924.778,1924.778,1924.778,1924.778
2022-04-03,1923.788,1925.758,1921.308,1924.578
2022-04-04,1924.578,1936.878,1915.328,1931.428
2022-04-05,1931.428,1944.463,1917.838,1920.518
2022-04-06,1920.458,1933.348,1915.038,1923.632
2022-04-07,1923.678,1937.708,1920.378,1932.848
2022-04-08,1932.878,1948.088,1927.548,1947.138
2022-04-09,1947.138,1947.138,1947.138,1947.138
2022-04-10,1946.138,1949.838,1943.118,1944.578
2022-04-11,1944.578,1969.558,1939.882,1952.638
2022-04-12,1952.638,1978.508,1949.518,1965.758
2022-04-13,1965.752,1981.482,1962.718,1977.062
